                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95609,                 1.7678,                 1.3187,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.092686,              0.0006856,              0.0006856
                      2,                   1.05,                 1.8923,                 1.4404,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.084409,               0.001409,               0.001409
                      3,                 1.1088,                  1.786,                 1.4657,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.076082,              0.0020816,              0.0020816
                      4,                  1.074,                 1.7689,                 1.4927,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.067703,              0.0027034,              0.0027034
                      5,                 1.1656,                  1.835,                 1.5381,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.059275,              0.0032745,              0.0032745
                      6,                  1.188,                 1.7569,                 1.5516,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.050795,              0.0037948,              0.0037948
                      7,                 1.1387,                 1.7377,                 1.4933,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.042264,              0.0042644,              0.0042644
                      8,                 1.0819,                 1.5417,                 1.4547,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.033683,              0.0046832,              0.0046832
                      9,                 1.0987,                  1.639,                 1.4715,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.025051,              0.0050513,              0.0050513
                     10,                 1.1284,                 1.6605,                 1.5138,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.016369,              0.0053686,              0.0053686
                     11,                  1.153,                 1.7042,                 1.5317,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0076351,              0.0056351,              0.0056351
